iter	Passed	Remaining
401	11760	17494
402	11787	17462
403	11813	17427
404	11839	17393
405	11865	17360
406	11889	17322
407	11920	17295
408	11944	17260
409	11973	17230
410	12004	17204
411	12042	17187
412	12075	17162
413	12104	17132
414	12128	17097
415	12154	17063
416	12180	17029
417	12207	16996
418	12232	16962
419	12261	16932
420	12287	16899
421	12311	16862
422	12338	16829
423	12365	16799
424	12394	16768
425	12424	16740
426	12450	16707
427	12477	16676
428	12499	16636
429	12525	16603
430	12552	16571
431	12580	16541
432	12608	16510
433	12640	16485
434	12667	16453
435	12695	16422
436	12723	16391
437	12756	16367
438	12790	16344
439	12817	16312
440	12842	16279
441	12871	16249
442	12898	16217
443	12926	16186
444	12955	16158
445	12989	16135
446	13019	16106
447	13044	16073
448	13068	16037
449	13092	16002
450	13123	15975
451	13153	15947
452	13183	15918
453	13207	15884
454	13236	15855
455	13265	15825
456	13293	15794
457	13320	15763
458	13345	15729
459	13372	15698
460	13405	15673
461	13433	15643
462	13465	15617
463	13500	15595
464	13535	15573
465	13574	15554
466	13599	15521
467	13625	15488
468	13653	15458
469	13682	15429
470	13709	15398
471	13736	15366
472	13767	15339
473	13789	15302
474	13825	15281
475	13853	15250
476	13880	15219
477	13907	15187
478	13938	15160
479	13968	15132
480	13995	15100
481	14022	15069
482	14058	15047
483	14084	15015
484	14111	14984
485	14137	14952
486	14162	14918
487	14187	14885
488	14214	14853
489	14238	14820
490	14272	14795
491	14304	14770
492	14333	14740
493	14363	14712
494	14389	14679
495	14417	14650
496	14444	14619
497	14471	14588
498	14497	14555
499	14527	14527
500	14553	14495
501	14585	14468
502	14616	14442
503	14643	14410
504	14669	14378
505	14698	14349
506	14728	14321
507	14758	14293
508	14782	14260
509	14809	14228
510	14836	14197
511	14867	14171
512	14897	14142
513	14927	14114
514	14958	14087
515	14985	14056
516	15020	14032
517	15045	14000
518	15077	13973
519	15106	13944
520	15135	13915
521	15159	13881
522	15184	13849
523	15210	13816
524	15231	13781
525	15258	13749
526	15290	13724
527	15314	13690
528	15345	13663
529	15374	13634
530	15397	13600
531	15425	13570
532	15454	13540
533	15480	13509
534	15504	13476
535	15533	13446
536	15563	13419
537	15591	13388
538	15621	13360
539	15651	13332
540	15677	13301
541	15705	13271
542	15735	13243
543	15762	13212
544	15794	13186
545	15823	13157
546	15849	13125
547	15876	13095
548	15905	13066
549	15933	13036
550	15961	13006
551	15987	12975
552	16013	12944
553	16042	12915
554	16070	12885
555	16105	12861
556	16133	12831
557	16164	12803
558	16194	12775
559	16218	12743
560	16246	12713
561	16276	12685
562	16304	12655
563	16333	12626
564	16363	12598
565	16393	12570
566	16422	12541
567	16452	12513
568	16482	12485
569	16509	12454
570	16535	12423
571	16561	12392
572	16588	12361
573	16618	12333
574	16644	12302
575	16672	12272
576	16699	12242
577	16724	12210
578	16746	12176
579	16776	12148
580	16801	12116
581	16829	12087
582	16854	12055
583	16884	12027
584	16908	11994
585	16939	11967
586	16970	11940
587	16997	11909
588	17025	11880
589	17052	11850
590	17078	11819
591	17105	11789
592	17135	11760
593	17157	11726
594	17185	11697
595	17213	11668
596	17242	11639
597	17271	11610
598	17305	11585
599	17332	11555
600	17360	11525
601	17387	11495
602	17416	11466
603	17441	11435
604	17468	11404
605	17497	11376
606	17521	11344
607	17547	11313
608	17574	11283
609	17605	11256
610	17634	11226
611	17660	11196
612	17688	11167
613	17715	11137
614	17740	11105
615	17763	11073
616	17794	11045
617	17821	11015
618	17856	10990
619	17883	10961
620	17909	10930
621	17935	10899
622	17965	10871
623	17992	10841
624	18026	10816
625	18054	10786
626	18080	10756
627	18104	10724
628	18135	10696
629	18163	10667
630	18187	10635
631	18214	10606
632	18238	10574
633	18264	10543
634	18295	10516
635	18324	10487
636	18352	10458
637	18379	10428
638	18411	10401
639	18440	10372
640	18466	10342
641	18496	10314
642	18523	10284
643	18550	10254
644	18579	10225
645	18607	10196
646	18639	10169
647	18662	10137
