iter	Logloss
0	0.6822952101
1	0.6725949702
2	0.6620648233
3	0.6536761921
4	0.6459245282
5	0.638422121
6	0.6319470968
7	0.6260322981
8	0.6208219381
9	0.6162105979
10	0.611850143
11	0.6077499452
12	0.6036795238
13	0.600358589
14	0.5975926939
15	0.5944008726
16	0.5912044108
17	0.5884403682
18	0.5854846871
19	0.5833868688
20	0.5808641827
21	0.5789146649
22	0.576803223
23	0.5751139913
24	0.5734424328
25	0.5718943067
26	0.5705143885
27	0.5691476608
28	0.5679453762
29	0.5671107596
30	0.5660604828
31	0.5651214132
32	0.5639993642
33	0.563037529
34	0.5621366975
35	0.5613333501
36	0.56076105
37	0.5599140472
38	0.5591400361
39	0.5585228443
40	0.557879164
41	0.5572889863
42	0.5565984746
43	0.5561367432
44	0.5555641137
45	0.5550357568
46	0.5544858286
47	0.5538358415
48	0.5533625042
49	0.5527960758
50	0.552241141
51	0.5517971757
52	0.5514182549
53	0.5510582442
54	0.5505571353
55	0.5500951449
56	0.5499772216
57	0.5497017576
58	0.549194059
59	0.5488373702
60	0.5483285663
61	0.5479600276
62	0.5476229253
63	0.5471297718
64	0.546774856
65	0.5464022194
66	0.5460403488
67	0.545683458
68	0.5454036765
69	0.545115977
70	0.5447740381
71	0.5443846615
72	0.5441963068
73	0.5439022186
74	0.5435738291
75	0.5433999874
76	0.5430900466
77	0.5426481075
78	0.5425344014
79	0.5422113232
80	0.5419270693
81	0.5416529669
82	0.5415887118
83	0.5413105314
84	0.5409462056
85	0.5407008457
86	0.5404701309
87	0.5401125676
88	0.5399257713
89	0.5396607958
90	0.5394868243
91	0.5390350578
92	0.5385681674
93	0.5384741081
94	0.5382022538
95	0.5379512719
96	0.5377796963
97	0.5375601025
98	0.5373420781
99	0.5370956552
100	0.5367893813
101	0.5365514703
102	0.5363278303
103	0.5362215071
104	0.5359089001
105	0.5358216886
106	0.5356188464
107	0.5354401546
108	0.5352093576
109	0.5350368789
110	0.5348595985
111	0.5347544285
112	0.5345809288
113	0.5343480794
114	0.5342110942
115	0.5338154446
116	0.5335585333
117	0.5334556217
118	0.5333517221
119	0.5332238698
120	0.5329145891
121	0.5327132997
122	0.5325269158
123	0.5323941239
124	0.5321710402
125	0.5319462302
126	0.5315618062
127	0.5313753854
128	0.531218692
129	0.531030367
130	0.5307507141
131	0.5306287255
132	0.5305027766
133	0.530446101
134	0.530278017
135	0.5301228381
136	0.5299965401
137	0.5298510098
138	0.5298329245
139	0.529744872
140	0.5296528347
141	0.5294728547
142	0.5292727998
143	0.5291110229
144	0.5289813288
145	0.5287185605
146	0.528445719
147	0.5283894846
148	0.5282356249
149	0.5280635262
150	0.5279543921
151	0.5278599836
152	0.5274890916
153	0.527286358
154	0.5271109066
155	0.526955581
156	0.5267801108
157	0.5267557726
158	0.526421093
159	0.526383281
160	0.5261802421
161	0.5260399116
162	0.5259842399
163	0.5259414923
164	0.5258478178
165	0.5254209345
166	0.5251851404
167	0.5251523295
168	0.5249494187
169	0.5249271305
170	0.5246702337
171	0.5245036486
172	0.524355538
173	0.5241663408
174	0.5239508212
175	0.5238895755
176	0.523829553
177	0.5237599989
178	0.5236936187
179	0.5234582927
180	0.5233647431
181	0.5231789966
182	0.5229629132
183	0.5228115257
184	0.5224216047
185	0.5222811168
186	0.5221675813
187	0.5219565646
188	0.52174047
189	0.5215297883
190	0.5211773407
191	0.5211390497
192	0.5209886898
193	0.5208190197
194	0.5205699951
195	0.5204420448
196	0.5203461189
197	0.5201828066
198	0.5200588056
199	0.5199725678
200	0.5198577908
201	0.5197626735
202	0.5196407995
203	0.5194368931
204	0.5190961193
205	0.5189637707
206	0.5188373899
207	0.5185695809
208	0.5184076749
209	0.5181793359
210	0.51808448
211	0.5178742964
212	0.5177386165
213	0.5177140988
214	0.5174505477
215	0.517229397
216	0.5169729974
217	0.516852553
218	0.5167466375
219	0.5166258852
220	0.5163889121
221	0.5162554709
222	0.5160731788
223	0.5159702538
224	0.515861945
225	0.5156910856
226	0.5155620401
227	0.5154705402
228	0.5153398187
229	0.5152477356
230	0.5151443002
231	0.5148452653
232	0.5146607579
233	0.5143605321
234	0.5141765302
235	0.5140324653
236	0.5138503593
237	0.5136638585
238	0.5134959147
239	0.5130996159
240	0.5128558081
241	0.5125023755
242	0.5123503637
243	0.5122200488
244	0.5120084921
245	0.5118695669
246	0.5117196614
247	0.511482492
248	0.511217967
249	0.5110612717
250	0.51073395
251	0.5106873381
252	0.5103963898
253	0.5102770077
254	0.5101330825
255	0.5099690188
256	0.5099052856
257	0.5098261104
258	0.5097626606
259	0.5096190785
260	0.5093918758
261	0.5092486871
262	0.5090128784
263	0.5088131232
264	0.5086162101
265	0.5084568407
266	0.5083638655
267	0.5082700666
268	0.5082364751
269	0.5079293029
270	0.5077642589
271	0.5076687986
272	0.5076064566
273	0.5074122793
274	0.5073061892
275	0.5071062822
276	0.506921484
277	0.5067779906
278	0.5065663841
279	0.5064946551
280	0.5063219944
281	0.506031521
282	0.5058968421
283	0.5057401085
284	0.5055621672
285	0.5053816958
286	0.505112478
287	0.505004141
288	0.5047644572
289	0.5046714762
290	0.5045738089
291	0.5044467281
292	0.5043069161
293	0.5040699876
294	0.5038700005
295	0.5037240536
296	0.5035320247
297	0.5034764917
298	0.5032431163
299	0.5030788484
300	0.5029600874
301	0.502715361
302	0.5025292283
303	0.5023715426
304	0.5022926232
305	0.5020950403
306	0.5019592285
307	0.5018298717
308	0.5016791847
309	0.5015588269
310	0.5014408991
311	0.5013396905
312	0.5012575614
313	0.5012429916
314	0.5010799356
315	0.5009688659
316	0.5008905988
317	0.5007946963
318	0.500653218
319	0.5005132626
320	0.5004358616
321	0.500320513
322	0.5002476751
323	0.500173789
324	0.5000349929
325	0.4998944365
326	0.4996141937
327	0.4995500828
328	0.4994313026
329	0.4993692234
330	0.4992966378
331	0.4991606864
332	0.4989542973
333	0.4987921332
334	0.4986101222
335	0.4984473403
336	0.4984177131
337	0.4982376572
338	0.498038691
339	0.4978874715
340	0.4977933766
341	0.4977222051
342	0.4976859538
343	0.4975485161
344	0.4974170952
345	0.4973847272
346	0.4972709081
347	0.4972099312
348	0.4971081592
349	0.4970084395
350	0.4968882759
351	0.4968470806
352	0.496776533
353	0.4966015328
354	0.4964294011
355	0.4963472244
356	0.4961207357
357	0.4960260804
358	0.4958941284
359	0.4957837646
360	0.4956317257
361	0.495591307
362	0.4955453188
363	0.4955060944
364	0.495402639
365	0.4952351617
366	0.4950445627
367	0.4949172506
368	0.4948159416
369	0.494708996
370	0.4946456411
371	0.4945249086
372	0.4943754104
373	0.4941829784
374	0.4940471374
375	0.4939349143
376	0.493710901
377	0.4936144617
378	0.4934764824
379	0.4934028572
380	0.4933459257
381	0.4931447003
382	0.4929929526
383	0.4929470189
384	0.4928518452
385	0.4927825421
386	0.4926377185
387	0.4924868961
388	0.4924320347
389	0.4923101533
390	0.4922063703
391	0.492087938
392	0.491962659
393	0.4918745306
394	0.4918433876
395	0.4917983504
396	0.4917148707
397	0.4916741898
398	0.4916161782
399	0.491422562
400	0.4912558476
401	0.4911378113
402	0.4910932816
403	0.4909749619
404	0.4908005307
405	0.4906382846
406	0.4906355274
407	0.4905014716
408	0.4904162651
409	0.4902738965
410	0.4901809587
411	0.4901556496
412	0.4900361149
413	0.4899636176
414	0.4898867563
415	0.4897765645
416	0.4897141605
417	0.4896551153
418	0.4894866459
419	0.489422775
420	0.4893105007
421	0.4892460897
422	0.4891636677
423	0.4889676752
424	0.4888871762
425	0.4887976829
426	0.4887680761
427	0.4886795985
428	0.4886105158
429	0.4885473904
430	0.4884592108
431	0.488402066
432	0.4882845391
433	0.4882222099
434	0.4881432685
435	0.4880601
436	0.4879447047
437	0.4878849602
438	0.4878086394
439	0.487752219
440	0.4874710991
441	0.4873414633
442	0.4872530462
443	0.4872169792
444	0.4871355533
445	0.4870133208
446	0.4868432652
447	0.4867951069
448	0.4867292929
449	0.4866299878
450	0.4865721922
451	0.4865508133
452	0.4864545739
453	0.4861815731
454	0.4860966411
455	0.4860677855
456	0.4860410521
457	0.485977062
458	0.4858745868
459	0.4857951309
460	0.4856973576
461	0.4855923563
462	0.4855322736
463	0.4854839675
464	0.4854261291
465	0.4853077604
466	0.4852496478
467	0.4851721684
468	0.4851032434
469	0.4849829293
470	0.4849041433
471	0.4848288495
472	0.4847405145
473	0.4846381686
474	0.4845457676
475	0.4845268938
476	0.4844454306
477	0.4844121751
478	0.4843675222
479	0.4842108133
480	0.4840925432
481	0.4840568081
482	0.4839803504
483	0.4838845926
484	0.483822115
485	0.4837908225
486	0.483741481
487	0.48371764
488	0.4836720376
489	0.4834682604
490	0.483410847
491	0.4833192871
492	0.4831952718
493	0.4831022297
494	0.4830525463
495	0.4829523389
496	0.4828342008
497	0.4827560562
498	0.4826969695
499	0.4826002755
500	0.482571876
501	0.4825100895
502	0.4824774585
503	0.4823965895
504	0.4823002512
505	0.4822606635
506	0.4821106542
507	0.481974711
